source,target,name,status,verified,dedupe_by,match_score,reason
/hausarzt/beckum/dr-med-hans-thomas-thompson,https://navoria.de/praxis/beckum/dr-med-hans-thomas-thompson-LpEESo,Dr. med. Hans-Thomas Thompson,PLACES_IMPORTED_NEW,yes,,0.9,
/hausarzt/beelitz/frau-dipl-med-ramona-wendland-beelitz,https://navoria.de/praxis/beelitz/frau-dipl-med-ramona-wendland-Ic8OZw,Frau Dipl.-Med. Ramona Wendland,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/bergisch-gladbach/dr-annette-knoll-9721,https://navoria.de/praxis/bergisch-gladbach/dr-annette-knoll-ryMrJ4,Dr. Annette Knoll,MATCHED_PHASE2,yes,,,street+plz+name
/hausarzt/berlin/dr-mehdi-rafii-berlin,https://navoria.de/praxis/berlin/dr-mehdi-rafii-hWB6jo,Dr. Mehdi Rafii,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/betzdorf/drmed-rainer-banzhaf-facharzt-fr-allgemeinmedizin-betzdorf,https://navoria.de/praxis/betzdorf/dr-med-rainer-banzhaf-facharzt-fuer-allgemeinmedizin-mpkUns,Dr.med. Rainer Banzhaf Facharzt für Allgemeinmedizin,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/biedenkopf/olessja-mrz-praxis-fr-allgemeinmedizin-biedenkopf,https://navoria.de/praxis/biedenkopf/olessja-maerz-praxis-fuer-allgemeinmedizin-YNGO9k,Olessja März Praxis für Allgemeinmedizin,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/blankenburg-harz/dipl-med-rene-giesel-5452,https://navoria.de/praxis/blankenburg-harz/dipl-med-rene-giesel-dVofIA,Dipl.-Med. Rene Giesel,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/bobingen/hausarzt-praxis-herr-alexander-eisinger-9087,https://navoria.de/praxis/bobingen/hausarzt-praxis-herr-alexander-eisinger-NB78xI,Hausarzt Praxis Herr Alexander Eisinger,PLACES_IMPORTED_NEW,yes,,0.9,
/hausarzt/bochum/herr-dr-med-clemens-seifert-bochum,https://navoria.de/praxis/bochum/herr-dr-med-clemens-seifert-aR5Szo,Herr Dr. med. Clemens Seifert,MATCHED_PHASE2,yes,,,street+plz+name
/hausarzt/boeblingen/dr-iavorschi-bblingen,https://navoria.de/praxis/boeblingen/dr-iavorschi-fYt1pQ,Dr. Iavorschi,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/borken-hessen/dr-med-sabine-hess-fachaerztin-f-allgemeinmedizin-2076,https://navoria.de/praxis/borken-hessen/dr-med-sabine-hess-fachaerztin-f-allgemeinmedizin-aakgnQ,Dr. med. Sabine Heß Fachärztin f. Allgemeinmedizin,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/borken/drmed-pler-bernhard-borken,https://navoria.de/praxis/borken/dr-med-paessler-bernhard-1lddbE,Dr.med. Päßler Bernhard,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/bramsche/herr-dr-medic-imf-klausenburg-gavrila-urlea-albert-bramsche,https://navoria.de/praxis/bramsche/herr-dr-medic-imf-klausenburg-gavrila-urlea-albert-TT8Mw0,Herr Dr. medic. (IMF Klausenburg) Gavrila Urlea-Albert,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/braunschweig/dr-med-saman-c-atugoda-braunschweig,https://navoria.de/praxis/braunschweig/hautarztpraxis-dr-atugoda-WMJVjQ,Hautarztpraxis Dr. Atugoda,MATCHED_PHASE2,yes,,,street+plz+name
